"year" "age" "prediction" "predictionSE" "lowCI" "highCI"
"1" 1996 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"2" 1997 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"3" 1998 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"4" 1999 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"5" 2000 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"6" 2001 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"7" 2002 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"8" 2003 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"9" 2004 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"10" 2005 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"11" 2006 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"12" 2007 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"13" 2008 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"14" 2009 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"15" 2010 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"16" 2011 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"17" 2012 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
"18" 2013 8 -0.0189619473554016 0.0753483031922951 -0.167811620520001 0.129887725809197
