"year" "age" "mass" "status" "mass_scaled"
"406" 2012 12 107 "harvested" -0.716198354060977
"408" 2012 13 158 "harvested" 1.35847340924941
"409" 2012 14 101 "harvested" -0.96027738503867
"410" 2012 4 127 "harvested" 0.0973984158646656
"411" 2013 8 84 "harvested" -1.65183463947547
"412" 2013 10 185 "harvested" 2.45682904864903
"413" 2013 6 129.5 "harvested" 0.199098012105371
"414" 2013 5 125 "harvested" 0.0160387388721013
"415" 2013 14 142 "harvested" 0.707595993308898
"416" 2013 7 112 "harvested" -0.512799161579567
"417" 2013 7 136 "harvested" 0.463516962331205
"418" 2013 4 130 "harvested" 0.219437931353512
"419" 2013 4 131 "harvested" 0.260117769849794
"420" 2013 6 112 "harvested" -0.512799161579567
"422" 2013 5 135 "harvested" 0.422837123834923
"423" 2013 8 91.6 "harvested" -1.34266786690372
"424" 2013 5 119 "harvested" -0.228040292105592
"425" 2013 5 132 "harvested" 0.300797608346076
"426" 2013 10 132 "harvested" 0.300797608346076
"427" 2013 11 132 "harvested" 0.300797608346076
"428" 2013 9 146 "harvested" 0.870315347294026
"430" 2013 10 132 "harvested" 0.300797608346076
"431" 2013 4 107 "harvested" -0.716198354060977
"434" 2013 6 75 "harvested" -2.01795318594201
"435" 2013 9 177 "harvested" 2.13139034067877
"437" 2013 4 116 "harvested" -0.350079807594438
"438" 2013 11 101 "harvested" -0.96027738503867
"439" 2013 9 128 "harvested" 0.138078254360948
"440" 2013 14 120 "harvested" -0.187360453609309
"441" 2013 11 166 "harvested" 1.68391211721967
"443" 2013 14 160 "harvested" 1.43983308624198
